종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"365550","ESR켄달스퀘어리츠","KOSPI",,"4275","5","0.12","4270","4300","4190","232905","990801415","910955475000","213089000"
"050120","ES큐브","KOSDAQ","중견기업부","2930","40","1.38","2890","2930","2860","2038","5931710","39742771980","13564086"
"383220","F&F","KOSPI",,"80500","-200","-0.25","80000","82100","79900","19156","1542093900","3083719537500","38307075"
"007700","F&F홀딩스","KOSPI",,"20950","500","2.44","20700","21350","20450","47751","998818350","819445988650","39114367"
"214270","FSN","KOSDAQ","중견기업부","2865","-20","-0.69","2905","2955","2820","238733","688708137","121532735595","42419803"
"130500","GH신소재","KOSDAQ","우량기업부","2995","55","1.87","2950","2995","2910","81743","242512537","43562430740","14545052"
"114090","GKL","KOSPI",,"16930","-470","-2.70","17310","17390","16910","98028","1681899030","1047216493100","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3070","-10","-0.32","3130","3130","3050","56462","173167090","248209500000","80850000"
"078930","GS","KOSPI",,"51900","2000","4.01","50200","51900","50000","132524","6784257750","4822308118200","92915378"
"083450","GST","KOSDAQ","우량기업부","19130","-140","-0.73","19270","19360","19050","32608","623812400","352565900000","18430000"
"006360","GS건설","KOSPI",,"21150","200","0.95","20950","21200","20700","84545","1778603625","1810048513500","85581490"
"001250","GS글로벌","KOSPI",,"2735","10","0.37","2725","2735","2695","179372","487773404","225729844540","82533764"
"007070","GS리테일","KOSPI",,"17430","270","1.57","17110","17600","17060","89036","1549601170","1457277243450","83607415"
"078935","GS우","KOSPI",,"45850","850","1.89","45200","46000","45050","11160","510102200","81834272100","1784826"
"499790","GS피앤엘","KOSPI",,"40850","-100","-0.24","41200","43150","39900","123132","5067054200","810089854850","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2285","-40","-1.72","2325","2340","2280","155421","358465682","167126988490","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2245","40","1.81","2205","2275","2185","76319","171259953","60855237450","27107010"
"078150","HB테크놀러지","KOSDAQ","우량기업부","1881","-5","-0.27","1890","1893","1870","228512","428879582","174398637996","92715916"
"012630","HDC","KOSPI",,"24425","1275","5.51","23450","24800","23400","176012","4276787300","1459191535425","59741721"
"039570","HDC랩스","KOSPI",,"9420","0","0.00","9430","9650","9370","10328","97535610","244520601420","25957601"
